variety,word,decision,register,gloss,gloss_source,note,decided_by,decided_at
be,aanbelangen,keep,,"aangaan, betreffen (wat mij aanbelangt)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,aanvijzen,keep,,"aandraaien, vastschroeven",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,aanwerver,keep,,"rekruteerder, wie personeel aanwerft",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,aardeweg,keep,,"onverharde weg, zandweg",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,absenteïsme,keep,,(ziekte)verzuim,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,acajou,keep,,mahonie(hout),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,accusatief,keep,,vierde naamval,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,achteruitboeren,keep,,"achteruitgaan, verslechteren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,afbollen,keep,,"ervandoor gaan, snel weggaan",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,afdreigen,keep,standard,"afpersen, chanteren",claude-opus-5 (accepted by author),,author,2026-09-21T17:36:09+00:00
be,affronteren,keep,standard,beledigen; ook: trotseren,claude-opus-5 (accepted by author),,author,2026-09-21T17:37:43+00:00
be,afhaling,keep,,"het afhalen (van bestelling, pakket)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,afluizen,keep,,"afhandig maken, aftroggelen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,afpitsen,keep,,afknijpen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,afspanning,keep,,"herberg, uitspanning",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,alternator,keep,,dynamo (van een auto),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ambetant,keep,,"vervelend, lastig",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ambetanterik,keep,,"lastpak, vervelende persoon",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:18+00:00
be,ambeteren,keep,,"vervelen, ergeren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ambras,keep,,"ruzie, gedoe",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ambulancier,keep,,ambulancebroeder,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ancien,keep,,"oud-leerling, oudgediende",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,antipathiek,keep,,onsympathiek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,apenjaren,keep,,"puberteit, vlegeljaren",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:41+00:00
be,aprilvis,keep,,aprilgrap,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,arduin,keep,,"hardsteen, blauwe steen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,arduinen,keep,,van hardsteen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,artisanaal,keep,,ambachtelijk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,assisen,keep,,hof van assisen (strafhof met jury),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,assisenhof,keep,,hof van assisen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,assisenzaak,keep,,zaak voor het hof van assisen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,augmentatie,keep,,"verhoging (van loon, prijs)",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:09+00:00
be,autocar,keep,,"touringcar, bus",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,autostrade,keep,,autosnelweg,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:05+00:00
be,baancafé,keep,standard,café langs een grote weg,claude-opus-5 (accepted by author),,author,2026-09-21T17:33:08+00:00
be,badstad,keep,,badplaats aan zee,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bakkerin,keep,,bakkersvrouw,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,balkleed,keep,,baljurk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bareel,keep,,slagboom (bij overweg),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,barema,keep,standard,"loonschaal, tariefschaal",claude-opus-5 (accepted by author),,author,2026-09-21T17:33:12+00:00
be,basketten,keep,,basketbal spelen,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:50+00:00
be,bavet,keep,,slabbetje,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,baxter,keep,,infuus,claude-opus-5 (accepted by author),,author,2026-09-21T17:39:02+00:00
be,begapen,keep,,"aangapen, met open mond aanstaren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,begingeneriek,keep,,begintitels (van film of programma),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bekampen,keep,,bestrijden,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,belfort,keep,,stadstoren met klokken,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bepotelen,keep,,"betasten, begrabbelen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bestemmeling,keep,,"geadresseerde, ontvanger",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,beterhand,keep,standard,aan de beterhand zijn: herstellende zijn,claude-opus-5 (chosen by author),,author,2026-09-21T17:52:05+00:00
be,beurtrol,keep,,"beurtregeling, rooster",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bezetsel,keep,,pleisterlaag op een muur,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bib,keep,,bibliotheek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bibbergeld,keep,,gevarentoeslag,gemini (chosen by author),,author,2026-09-21T17:52:12+00:00
be,bic,keep,,balpen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bijberoep,keep,,"nevenberoep, bijbaan (als zelfstandige)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bijlange,keep,,"bij lange (niet): lang niet, bij lange na niet",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:49+00:00
be,bisjaar,keep,,jaar dat men overdoet,claude-opus-5 (chosen by author),,author,2026-09-21T17:53:10+00:00
be,bissen,keep,,"een jaar overdoen, blijven zitten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,blokbeest,keep,,iemand die heel hard studeert,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bluts,keep,,deuk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,blutsen,keep,,"deuken, een deuk maken",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bobijn,keep,,"klos, spoel",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bobijnen,keep,,"klossen, spoelen",claude-opus-5 (chosen by author),,author,2026-09-21T17:53:16+00:00
be,boertig,keep,,"boers, lomp",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bolwassing,keep,,"uitbrander, flinke berisping",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bombardon,keep,,bastuba (koperblaasinstrument),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bomma,keep,,oma,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bompa,keep,,opa,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,boogscheut,keep,,"steenworp, korte afstand",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bosklas,keep,,schoolverblijf in de natuur (bosklassen),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bottine,keep,,"enkellaars, laarsje",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,boulet,keep,,grote gehaktbal,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:04+00:00
be,bricoleren,keep,,"knutselen, klussen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,broebelen,keep,,"mompelen, binnensmonds praten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,broekventje,keep,,"jochie, klein mannetje",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,brol,keep,,"rommel, prullen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,brossen,keep,standard,spijbelen,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:33+00:00
be,brosser,keep,,spijbelaar,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,brousse,keep,,"wildernis, bush (in Afrika)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,brugdag,keep,,werkdag tussen feestdag en weekend waarop men vrij neemt,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,buisvak,keep,,vak waarvoor men een onvoldoende heeft,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:44+00:00
be,buitenwipper,keep,,uitsmijter,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bultenaar,keep,,gebochelde,claude-opus-5 (chosen by author),,author,2026-09-21T17:53:26+00:00
be,bunsenbrander,keep,,gasbrander in een laboratorium,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,bvba,keep,,besloten vennootschap met beperkte aansprakelijkheid,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,camionette,keep,,bestelwagen,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:17+00:00
be,cantus,keep,,studentenzangfeest,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,captatie,keep,standard,In het Belgische/Vlaamse recht is captatie het ongeoorloofd beïnvloeden van een erflater.,author,,author,2026-09-21T17:37:26+00:00
