id,variety,word
w0001,be,speractie
w0002,be,pruimelaar
w0003,be,moegetergd
w0004,be,seldertje
w0005,nl,wadloper
w0006,nl,verbruid
w0007,be,blutsen
w0008,be,omzeggens
w0009,be,bestemmeling
w0010,nl,behappen
w0011,nl,glaspui
w0012,be,serveuse
w0013,be,truweel
w0014,nl,jeugdhonk
w0015,be,tooghanger
w0016,nl,aanhikken
w0017,nl,grijpstuiver
w0018,be,weddeschaal
w0019,be,hinterland
w0020,nl,wokkel
w0021,nl,absurdistisch
w0022,be,koterij
w0023,nl,portofoon
w0024,nl,vmbo
w0025,be,captatie
w0026,be,kaaksbeen
w0027,nl,gefingeerd
w0028,be,uitwijkeling
w0029,be,vadsigaard
w0030,be,vooropzeg
w0031,be,kazak
w0032,be,zavel
w0033,be,foert
w0034,nl,afraffelen
w0035,nl,oprekking
w0036,be,rotslecht
w0037,nl,liflafje
w0038,be,inwijkeling
w0039,nl,topzwaar
w0040,be,datief
w0041,be,dieperik
w0042,nl,gister
w0043,be,vestimentair
w0044,be,turngerief
w0045,be,strooiwei
w0046,be,kouter
w0047,be,kepie
w0048,be,opzoeking
w0049,nl,heiig
w0050,nl,woei
w0051,be,dagdagelijks
w0052,nl,bonnefooi
w0053,be,bompa
w0054,be,kine
w0055,be,crapuul
w0056,nl,vlonder
w0057,be,mitraillette
w0058,nl,skippybal
w0059,nl,marskramer
w0060,be,zwans
w0061,be,kuisploeg
w0062,be,plattekaas
w0063,nl,brallen
w0064,nl,regelneef
w0065,be,bluts
w0066,be,pompier
w0067,be,charcuterie
w0068,nl,ranja
w0069,be,mouwveger
w0070,nl,recalcitrantie
w0071,be,koteren
w0072,be,dekenij
w0073,be,mogelijks
w0074,be,bekampen
w0075,nl,allrisk
w0076,be,zonneslag
w0077,be,afhaling
w0078,be,sakkeren
w0079,nl,hangop
w0080,nl,gegiebel
w0081,nl,impopulair
w0082,be,achteruitboeren
w0083,nl,stampij
w0084,be,kmo
w0085,be,domotica
w0086,nl,verregenen
w0087,nl,paksoi
w0088,be,leeggoed
w0089,nl,kanen
w0090,be,frigobox
w0091,nl,ventweg
w0092,nl,contactueel
w0093,nl,verdikkie
w0094,be,sloef
w0095,be,arduin
w0096,nl,balkenbrij
w0097,nl,puinzooi
w0098,be,doodgraag
w0099,be,picoseconde
w0100,be,bic
w0101,be,lavabo
w0102,be,doenbaar
w0103,be,zeeklas
w0104,be,sterfput
w0105,be,orbitaal
w0106,nl,pakkie-an
w0107,nl,brallerig
w0108,nl,hbs
w0109,be,kraaknet
w0110,be,cyclocross
w0111,be,dotatie
w0112,be,kruidtuin
w0113,nl,aankakken
w0114,be,mezzanine
w0115,be,verloning
w0116,nl,pielen
w0117,nl,knurft
w0118,be,vijs
w0119,be,recyclage
w0120,nl,neuzelaar
w0121,nl,dauwtrappen
w0122,nl,dotteren
w0123,be,pediater
w0124,be,pintelieren
w0125,be,litoraal
w0126,be,droedel
w0127,nl,vertillen
w0128,be,pagadder
w0129,nl,koog
w0130,nl,kerststol
w0131,be,penaliseren
w0132,be,klasbak
w0133,nl,lijnbaan
w0134,be,kinesist
w0135,nl,nepper
w0136,nl,hectiek
w0137,be,overslapen
w0138,be,hutsepot
w0139,nl,waxine
w0140,nl,warenwet
w0141,nl,poulet
w0142,nl,heikneuter
w0143,nl,bonje
w0144,be,verso
w0145,nl,soebatten
w0146,be,accusatief
w0147,nl,smeerkees
w0148,be,roofing
w0149,be,trottinette
w0150,be,palmares
w0151,nl,kloffie
w0152,be,stoefer
w0153,be,verbrodden
w0154,nl,poedelen
w0155,be,buisvak
w0156,nl,visafslag
w0157,be,deontologie
w0158,nl,spekkie
w0159,be,kursaal
w0160,be,teleonthaal
w0161,nl,inruimen
w0162,be,kortfilm
w0163,nl,hannesen
w0164,be,plaaster
w0165,be,dopgeld
w0166,be,kasbon
w0167,be,opkramen
w0168,be,wegcode
w0169,nl,onthand
w0170,be,schotelvod
w0171,nl,pislink
w0172,be,augmentatie
w0173,be,sluikstorten
w0174,be,badstad
w0175,be,pisbloem
w0176,be,doteren
w0177,be,zagevent
w0178,be,seutig
w0179,nl,boortol
w0180,be,schachtendoop
w0181,nl,derrie
w0182,be,reekshoofd
w0183,nl,multomap
w0184,be,consacreren
w0185,be,hoogdag
w0186,be,herwerken
w0187,be,stielkennis
w0188,be,farde
w0189,be,zagemeel
w0190,be,draagberrie
w0191,be,warande
w0192,be,wiezen
w0193,nl,snufferd
w0194,be,smoutebol
w0195,nl,brink
w0196,be,ambetanterik
w0197,be,stoemp
w0198,be,javel
w0199,nl,leges
w0200,nl,schillenboer
w0201,nl,lijp
w0202,be,cantus
w0203,nl,wassenaar
w0204,nl,eigenheimer
w0205,nl,badderen
w0206,nl,afvangen
w0207,nl,staalpil
w0208,nl,chocomel
w0209,be,ancien
w0210,nl,godsamme
w0211,be,pompaf
w0212,nl,jonassen
w0213,nl,recalcitrant
w0214,be,roefelen
w0215,be,cassonade
w0216,nl,tweepits
w0217,nl,trapveld
w0218,be,arduinen
w0219,be,daarjuist
w0220,nl,verharen
w0221,be,sinusitis
w0222,be,droogkuis
w0223,be,dissectie
w0224,nl,cito
w0225,be,smout
w0226,nl,slijptol
w0227,be,massacreren
w0228,nl,mesjokke
w0229,nl,bospeen
w0230,be,boogscheut
w0231,nl,klaar-over
w0232,be,parlofoon
w0233,be,stiel
w0234,nl,piesbak
w0235,nl,ordner
w0236,nl,havo
w0237,be,roulade
w0238,nl,zeiksnor
w0239,nl,shovel
w0240,nl,gesteggel
w0241,nl,occasion
w0242,be,wegenwerken
w0243,nl,misstand
w0244,nl,memoreren
w0245,nl,riedel
w0246,be,convenabel
w0247,nl,duppie
w0248,be,evoqueren
w0249,be,domiciliëring
w0250,be,taboeret
w0251,nl,kontgat
w0252,be,kerkfabriek
w0253,be,stockeren
w0254,nl,wietteler
w0255,be,brol
w0256,nl,stumper
w0257,be,opsolferen
w0258,be,koer
w0259,be,intensifiëren
w0260,nl,theeleut
w0261,be,labeur
w0262,nl,halvarine
w0263,nl,tukker
w0264,be,begingeneriek
w0265,be,jeton
w0266,be,loonfiche
w0267,be,luidop
w0268,nl,beschoeiing
w0269,nl,samsam
w0270,nl,stempas
w0271,nl,popiejopie
w0272,nl,bozig
w0273,nl,domstad
w0274,be,woonst
w0275,be,luster
w0276,nl,oplezen
w0277,be,pletsen
w0278,be,vrijschop
w0279,nl,verwassen
w0280,nl,kissebissen
w0281,be,bijberoep
w0282,nl,mihoen
w0283,nl,lijzijde
w0284,be,tarmac
w0285,nl,snikkel
w0286,be,suppositoire
w0287,be,overkop
w0288,nl,riblap
w0289,nl,relnicht
w0290,nl,kachelen
w0291,be,absenteïsme
w0292,be,holebi
w0293,be,mispeuteren
w0294,be,assisenhof
w0295,be,kotbaas
w0296,nl,waaks
w0297,be,smoutachtig
w0298,nl,hutspot
w0299,nl,zalmsnip
w0300,be,geblutst
w0301,be,weeral
w0302,nl,bakkie
w0303,be,onthaalmoeder
w0304,be,schotwonde
w0305,be,stofhagel
w0306,nl,snaaien
w0307,nl,nasibal
w0308,nl,klessebes
w0309,nl,priegelen
w0310,nl,jasses
w0311,be,heenronde
w0312,be,taallabo
