w1001|stijfkop; domkop
w1002|uitroep van verbazing
w1003|knutselen; bezig zijn
w1004|catalogiseren; rangschikken
w1005|schoolreis naar het bos
w1006|kletsen; babbelen
w1007|konijnenhol; Waaslandtunnel
w1008|deugniet; schurk
w1009|een bepaald kaartspel spelen
w1010|zoet spiraalvormig koffiebroodje; drol
w1011|autosnelweg
w1012|enigszins zielig
w1013|middelbaar algemeen voortgezet onderwijs
w1014|langdurig gepraat; doelloos overleg
w1015|portemonnee; beurs
w1016|knoflooksaus
w1017|heel leuk; geweldig
w1018|eentje; alleen
w1019|mishandelen; verbrodden
w1020|iemand die veel talen kent
w1021|tuimelen; vallen
w1022|opzichtig rondlopen
w1023|categorisch; stellig
w1024|heel klein; fijn
w1025|een draad vastmaken
w1026|reeks; verzameling
w1027|treuzelen; talmen
w1028|zult; hoofdkaas
w1029|tot ziens; dag
w1030|tillen; geld ontvangen
w1031|inhoudsopgave
w1032|op de buik sluipen
w1033|korte workshop of training
w1034|taaie, karaktervolle wielrenner
w1035|van een dotatie voorzien
w1036|wild bewegen; snel rijden
w1037|lolly
w1038|het opzetten van dieren
w1039|verkoudheid
w1040|wals om wegen te egaliseren
w1041|uit de nood helpen; takelen
w1042|bijgebouw; nevenvestiging
w1043|driemaandelijks
w1044|overbodig dubbel
w1045|stang voor een traploper
w1046|iemand die personeel aanwerft
w1047|elkaars pad kruisen; heen-en-weervaren
w1048|generiek; merkloos
w1049|hof van assisen; juryrechtspraak
w1050|pechverhelping; takeldienst
w1051|rechtuit; ronduit
w1052|gezicht; tronie
w1053|ruitvormig keeldropje; ruitvorm
w1054|harken
w1055|eetbare tropische wortelknol
w1056|urine; pis
w1057|goedmoedig; goedhartig
w1058|herzien; bewerkt
w1059|gemeen persoon; schurk
w1060|de kerktoren van Utrecht
w1061|eczeem
w1062|oude Romeinse heerweg; hoofdweg
w1063|oud houten vissersschip
w1064|loonkosten; kosten van arbeid
w1065|geldig; aanvaardbaar
w1066|gevloek; gemopper
w1067|laboratoriumjas
w1068|gekke vrouw; dwaze vrouw
w1069|laboratorium
w1070|het vermist zijn; verdwijning
w1071|knoeien; morsen
w1072|klein visje; klein kind
w1073|zorgen; problemen
w1074|klaploper; profiteur
w1075|waardeloos; van weinig betekenis
w1076|gekiemde mungbonen; kiemgroente
w1077|hout van de fijnspar
w1078|schroeven
w1079|portier; uitsmijter
w1080|in Nederland gekweekte wiet
w1081|Indonesische sojasaus
