w0201|gekkig; maffia; gek; fantastisch
w0202|studentenfeest met gezang en bier
w0203|wassen maan; sikkeltje
w0204|aardappelras
w0205|in bad zitten
w0206|onderscheppen; de wind uitzeilen
w0207|ijzertablet
w0208|chocolademelk
w0209|veteraan; wie lang ergens werkt
w0210|uitroep van vloek of ontzetting
w0211|doodmoe; uitgeput
w0212|iemand heen en weer wiegen
w0213|weerspannig; opstandig
w0214|ontdekken via kinderactiviteit
w0215|bruine suiker
w0216|kooktoestel met twee pitten
w0217|klein voetbalveldje
w0218|uit blauwe hardsteen gemaakt
w0219|zojuist; net
w0220|haar verliezen
w0221|bijholteontsteking
w0222|stomerij
w0223|ontleding van een lichaam
w0224|snel; spoedig
w0225|reuzel; varkensvet
w0226|haakse slijper
w0227|massaal doden; vernielen
w0228|gek; gestoord
w0229|worteltjes in een bos
w0230|korte afstand
w0231|klaarover; verkeersbrigadier
w0232|intercom
w0233|beroep; ambacht
w0234|pisbak; urinoir
w0235|opbergmap; ringband
w0236|hoger algemeen voortgezet onderwijs
w0237|gerold vleesgerecht; muzikaal motief
w0238|zeurpiet; vervelend mens
w0239|shovel; laadschop
w0240|mierenneuken; geruzie
w0241|tweedehands auto
w0242|wegwerkzaamheden
w0243|mislstand; ongewenste toestand
w0244|herinneren aan; aanhalen
w0245|vast riedeltje; verhaaltje
w0246|geschikt; passend
w0247|muntstuk van tien cent
w0248|oproepen; in herinnering brengen
w0249|automatische incasso
w0250|krukje zonder rugleuning
w0251|anus
w0252|bestuur van een parochie
w0253|opslaan; bewaren
w0254|iemand die wiet teelt
w0255|rommel; waardeloze spullen
w0256|zielig persoon; sukkel
w0257|opschepen met; opschepen
w0258|binnenplaats; speelplaats
w0259|intensiveren; versterken
w0260|iemand die veel thee drinkt
w0261|harde arbeid; zwaar werk
w0262|margarine met weinig vet
w0263|inwoner van Twente
w0264|begin-generiek; intromuziek; begintitel
w0265|muntstuk; fiche
w0266|salarisstrook
w0267|hardop
w0268|beschoeiing; damwand
w0269|samen delen; eerlijk delen
w0270|kaart om te stemmen
w0271|populair doen; populair persoon
w0272|een beetje boos
w0273|bijnaam van Utrecht
w0274|woning; huis
w0275|kroonluchter
w0276|hardop voordragen
w0277|neerplenzen; kletsen
w0278|vrije trap
w0279|door wassen verkleurd of vervormd
w0280|kiftend redetwisten; kibbelen
w0281|nevenberoep; bijbaan
w0282|dünne Chinese mie
w0283|zijde uit de wind
w0284|asfalt van een landingsbaan
w0285|penis
w0286|zetpil
w0287|over de kop; overkop
w0288|stuk stoofvlees
w0289|drukke homoseksuele man
w0290|langzaam rijden of varen
w0291|spiebeltje; werkverzuim
w0292|lesbisch, homo, biseksueel, transgender
